UHAWAII_ID	PSMSL_ID	Site	Basin	Lat	Lon	Region	GPD_Record_Start	GPD_Record_End	Annual_Trend	Trend_Start	Trend_End	Lambda	Q99	Shape50	Shape5	Shape95	Scale50	Scale5	Scale95	Vshape	Vscale	Vscaleshape
316a	686	"Acapulco-A,Gro."	pacific	16.9	-100.02	Mexico	1952	1995	3.207670652	1952	1995	1.045454545	0.311611758	-0.018254476	-0.248274802	0.211765851	0.086794493	0.054752901	0.118836086	0.013773244	0.000267259	-0.001228804
317a	795	Ensenada	pacific	31.85	-116.63	Mexico	1956	1991	1.784852473	1956	1991	1.75	0.5119021	-0.33786156	-0.531689605	-0.144033515	0.075777165	0.052837993	0.098716336	0.009779959	0.000136981	-0.001012831
320a	1592	Cendering	pacific	5.4	103.22	Malaysia	1984	2015	3.172115224	1984	2015	1.5625	0.652101603	-0.094647077	-0.408078483	0.218784328	0.10270836	0.05983442	0.145582299	0.025573422	0.00047851	-0.002801588
321a	248	Johor Baharu	pacific	1.57	103.87	Malaysia	1983	2013	3.187757495	1983	2013	2.096727899	0.611450395	-0.125727385	-0.279138881	0.027684111	0.078039653	0.055744969	0.100334336	0.006126601	0.000129392	-0.00060998
322a	1589	Kuantan	pacific	4.05	103.55	Malaysia	1983	2015	3.041788856	1983	2015	1.666701236	0.718592428	-0.119741476	-0.352053592	0.11257064	0.100509816	0.065297736	0.135721897	0.014049069	0.000322766	-0.00160432
323a	1678	Tioman	pacific	2.87	104.2	Malaysia	1985	2015	2.945685929	1985	2015	1.613010069	0.693673002	-0.038139694	-0.367050744	0.290771356	0.08265705	0.047141902	0.118172198	0.028161822	0.000328346	-0.002386047
324a	1702	Sedili	pacific	2.07	104.25	Malaysia	1986	2015	2.281280788	1986	2015	1.566738158	0.598183718	0.205684809	-0.238357486	0.649727104	0.067075781	0.031891471	0.10226009	0.051327782	0.000322257	-0.003087152
325a	1677	Kukup	pacific	1.4	103.53	Malaysia	1985	2015	3.550166852	1985	2015	1.742050874	0.626783425	-0.318384828	-0.551974977	-0.084794679	0.082784207	0.054296272	0.111272141	0.014204072	0.000211264	-0.001509406
326a	1703	Geting	pacific	6.32	102.17	Malaysia	1986	2015	3.19408867	1986	2015	1.600073013	0.567231023	0.023990519	-0.276651567	0.324632604	0.088930353	0.052236882	0.125623823	0.023528994	0.000350495	-0.002046182
328a	174	Ko Lak	pacific	11.9	99.82	Thailand	1985	2017	5.462715311	1985	2017	1.909130507	0.679166192	-0.196861194	-0.390117638	-0.00360475	0.106409046	0.073445901	0.139372191	0.009722362	0.000282853	-0.001302294
329b	333	Hong Kong-B	pacific	22.3	114.22	China	1986	2016	2.943548387	1986	2016	2.419301422	0.620735542	0.21423767	-0.102875003	0.531350343	0.091554499	0.056173422	0.126935577	0.026177672	0.000325871	-0.002078485
